"commit"	"ruta"	"http"	"sha256"	"bytes"	"consulta_utc"	"metodo"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/REGISTRO_LP.md"	"200"	"06fb87fb692186e2f7382bdecabef086cf3e3e97a66b58b452f7ed3c6a023605"	"1962"	"2026-09-17T10:05:03.8475171Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/dictamenes/README.md"	"200"	"b1f6c148fd0212195aa7aa5c5edb3faafc39e7440ba0c5ae4209c4f387c0d496"	"208"	"2026-09-17T10:05:04.1912185Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0001/v1/ENCARGO_COMUN.md"	"200"	"79655416ac99a77f8ba030246f80929c0f03aa8c2bdd1c94f7fb7f16d1207723"	"6223"	"2026-09-17T10:05:04.5799015Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0001/v1/FUENTES.tsv"	"200"	"74359260c427bac4c6693155ded5b793f79cf27c7c15707c3a2525851af3b76d"	"8388"	"2026-09-17T10:05:04.9417611Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0001/v1/MANIFIESTO_SHA256.tsv"	"200"	"2dd19ee5119191928bbce0da7180197b3d562d1b1391c3599bafa2876cc6550e"	"5766"	"2026-09-17T10:05:05.3093432Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0001/v1/claude/LEAME.md"	"200"	"7aa405c82cbfc8baabe0f4f24230dee4c62a71d92b8c9c1455fef3df8daa930d"	"1159"	"2026-09-17T10:05:05.6881947Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0001/v1/grok/LEAME.md"	"200"	"a4f60f586d7a0b7bebedf9d66fbda4bdec300b24bd14da1f87b7a13429e42941"	"1153"	"2026-09-17T10:05:06.0165906Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/README.md"	"200"	"3453efe60772de16e9cbd047de27a1f29e5c348dcfa1d0217ddf5ae42af22dd1"	"201"	"2026-09-17T10:05:06.4001921Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/fichas/estado-canonico/v1.md"	"200"	"d6df620123036e1b7108a284bae1b9d1c05f3fea07c160b7605f6251451a82d6"	"4102"	"2026-09-17T10:05:06.8872232Z"	"GET anónimo; igualdad con blob Git local"
"8e03fc2e0f150dd94d375049909a0980eb7161cc"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/fichas/estado-canonico/v2.md"	"200"	"f406326aaa1f64f580b32a8c11bb188ac8cda53a55d38b298d0f10257b61c8b1"	"4195"	"2026-09-17T10:05:07.2779023Z"	"GET anónimo; igualdad con blob Git local"
